"","winter","snowfall","snow_inches"
"1","1980-1981",15,15
"2","1981-1982",26,26
"3","1982-1983",38,38
"4","1983-1984",22,22
"5","1984-1985",16,16
"6","1985-1986",16,16
"7","1986-1987",26,26
"8","1987-1988",15,15
"9","1988-1989",11,11
"10","1989-1990",17,17
"11","1990-1991",15,15
"12","1991-1992",5,5
"13","1992-1993",24,24
"14","1993-1994",23,23
"15","1994-1995",10,10
"16","1995-1996",63,63
"17","1996-1997",13,13
"18","1997-1998",1,1
"19","1998-1999",13,13
"20","1999-2000",21,21
"21","2000-2001",26,26
"22","2001-2002",4,4
"23","2002-2003",46,46
"24","2003-2004",18,18
"25","2004-2005",30,30
"26","2005-2006",20,20
"27","2006-2007",13,13
"28","2007-2008",6,6
"29","2008-2009",23,23
"30","2009-2010",79,79
"31","2010-2011",44,44
"32","2011-2012",4,4
"33","2012-2013",8,8
"34","2013-2014",63,63
